Distribution,Run,Comparisons,ArrayAccesses,TimeMs
Random,1,19999,10001,0,026600
Random,2,19999,10001,0,021100
Random,3,19999,10001,0,020400
Random,4,19999,10001,0,020400
Random,5,19999,10001,0,020600
AllPositive,1,19999,10001,0,020900
AllPositive,2,19999,10001,0,026700
AllPositive,3,19999,10001,0,019700
AllPositive,4,19999,10001,0,027200
AllPositive,5,19999,10001,0,030400
AllNegative,1,19999,10001,0,022100
AllNegative,2,19999,10001,0,026000
AllNegative,3,19999,10001,0,024700
AllNegative,4,19999,10001,0,025800
AllNegative,5,19999,10001,0,020900
